Gene	Haploinsufficiency_Score	Triplosensitivity_Score	Haploinsufficiency_Description	Triplosensitivity_Description	Haploinsufficiency_DiseaseID	Triplosensitivity_DiseaseID
ATM	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0008840	NA
PRG4	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0008828	NA
CCN6	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0008827	NA
SLC2A10	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0008818	NA
ASL	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0008815	NA
ARG1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0008814	NA
APOC2	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0008810	NA
SMOC1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0008800	NA
SOX2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0008799	NA
RSPO4	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0008798	NA
TMPRSS6	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0008788	NA
TACSTD2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0008777	NA
CLN3	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0008767	NA
ALMS1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0008763	NA
COL4A3	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0008762	NA
HPS1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0008748	NA
TYRP1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0008747	NA
OCA2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0008746	NA
CYP21A2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0008728	NA
POR	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0008726	NA
ACADM	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0008721	NA
KIF7	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0008708	NA
LMBR1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0008700	NA
VPS13A	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0008695	NA
MTTP	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0008692	NA
LETM1	0	0	No evidence available	No evidence available	MONDO:0008684	NA
WT1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0008679	NA
