Gene	Haploinsufficiency_Score	Triplosensitivity_Score	Haploinsufficiency_Description	Triplosensitivity_Description	Haploinsufficiency_DiseaseID	Triplosensitivity_DiseaseID
HNRNPDL	0	0	No evidence available	No evidence available	MONDO:0015151	NA
PAFAH1B1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0015146	NA
BRPF1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0015022	NA
EBF3	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0015021	NA
MAPKBP1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014997	NA
ARCN1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0014948	NA
CHD4	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0014946	NA
SON	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0014936	NA
B9D1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014927	NA
BCL11A	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0014914	NA
TRIO	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0014892	NA
DNAJC21	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0014887	NA
HIVEP2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0014858	NA
SLC34A1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0014851	NA
TBL1XR1	3	1	Sufficient evidence for dosage pathogenicity	Little evidence for dosage pathogenicity	MONDO:0014842	NA
NEFH	0	0	No evidence available	No evidence available	MONDO:0014836	NA
DDX41	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0014809	NA
TRIP4	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014806	NA
USP7	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0014805	NA
SOX5	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0014778	NA
MYT1L	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0014678	NA
ATF6	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014677	NA
UBE2T	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014638	NA
NTHL1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014630	NA
GTF2H5	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014619	NA
POGZ	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0014606	NA
PPP2R5D	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0014602	NA
DPP6	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0014580	NA
KAT6A	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0014558	NA
ALG2	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0014543	NA
ETV6	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0014536	NA
CDK6	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0014484	NA
SETBP1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0014482	NA
NOTCH1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0014459	NA
PIGW	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014457	NA
IFT27	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014447	NA
SDCCAG8	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014444	NA
BBS12	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014440	NA
TTC8	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0014436	NA
BBS7	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0014435	NA
BBS5	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014434	NA
EPS8	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014428	NA
LAMA1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014419	NA
SPEG	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014418	NA
GPIHBP1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0014412	NA
METTL23	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014409	NA
SLC13A5	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014392	NA
AARS2	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0014387	NA
DNMT3A	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0014382	NA
TJP2	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0014381	NA
ADNP	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0014379	NA
SOX11	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0014376	NA
TTLL5	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014372	NA
DOCK7	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014371	NA
VPS53	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0014370	NA
POT1	2	0	Some evidence for dosage pathogenicity	No evidence available	MONDO:0014368	NA
ZMYND15	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014366	NA
LYRM7	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014364	NA
AUTS2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0014361	NA
AHDC1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0014358	NA
PGM3	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014353	NA
CRIPT	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014347	NA
XYLT1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014343	NA
STUB1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0014339	NA
SETD5	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0014336	NA
CA5A	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014332	NA
HFM1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014322	NA
NR2F1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0014320	NA
PGAP3	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0014318	NA
ERCC6L2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014317	NA
ARL6IP1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0014304	NA
TBC1D20	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014296	NA
CSPP1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014288	NA
CDIN1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0014285	NA
CD3D	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0014280	NA
CD3E	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014278	NA
CD3G	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0014276	NA
TAF2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014273	NA
SERPINB7	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014272	NA
STT3A	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014270	NA
PAX1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014254	NA
APOB	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0014252	NA
SYNE4	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014237	NA
DSE	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0014236	NA
DNAJC6	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014231	NA
GMPPA	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014219	NA
DYNC2I1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0014214	NA
TRIM2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014208	NA
ASXL3	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0014205	NA
RSPH1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0014202	NA
MALT1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014197	NA
ADAMTS18	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014195	NA
LRPAP1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0014183	NA
PHC1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014173	NA
CORO1A	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014168	NA
CNTN2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014167	NA
ANKS6	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0014158	NA
PLEKHG5	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014154	NA
RAB28	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0014153	NA
CHD2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0014150	NA
TCF12	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0014128	NA
ATP8A2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014104	NA
CIDEC	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014098	NA
RBP3	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014093	NA
ZNF141	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0014090	NA
MPDZ	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014085	NA
IL21R	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014082	NA
SLC25A1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0014072	NA
B3GALNT2	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0014071	NA
TTC19	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014063	NA
CD27	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0014054	NA
AGRN	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014052	NA
COX15	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014051	NA
ALDH1A3	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014050	NA
SNX10	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014040	NA
CTNNB1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0014035	NA
GATAD2B	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0014034	NA
TECPR2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014016	NA
EXPH5	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014014	NA
CERS3	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0014010	NA
DGKE	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0014005	NA
TAB2	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0014000	NA
LEPR	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0013992	NA
CHMP1A	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013990	NA
MTFMT	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013987	NA
OTOGL	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013984	NA
LRRC6	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0013979	NA
EARS2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013971	NA
BCKDK	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0013970	NA
RMND1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013969	NA
PGM1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0013968	NA
PEX11B	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013967	NA
CABP2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013963	NA
VPS37A	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013962	NA
PEX14	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013952	NA
PEX7	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0013945	NA
TSPEAR	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013929	NA
CEP164	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013917	NA
KISS1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0013915	NA
GNRH1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013914	NA
RTTN	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0013907	NA
GRM1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0013905	NA
FAN1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013898	NA
NBAS	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0013889	NA
CFAP53	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013887	NA
CAMTA1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0013886	NA
NFIX	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0013885	NA
PIGO	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013882	NA
ITGA3	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013881	NA
SERAC1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0013875	NA
MTO1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013865	NA
LRBA	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0013863	NA
CCDC103	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0013854	NA
EXOSC3	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013853	NA
GATAD1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0013848	NA
PDSS2	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0013838	NA
UVSSA	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0013834	NA
GLRB	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013828	NA
CPLANE1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013824	NA
ARID1A	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0013819	NA
GPR179	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013807	NA
ATR	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0013806	NA
FKBP14	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013800	NA
DDOST	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013789	NA
C8orf37	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013786	NA
CRADD	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013785	NA
BRAT1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013784	NA
GPD1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013771	NA
TPK1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013761	NA
TMEM237	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013745	NA
GBA2	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0013737	NA
CSF2RB	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0013712	NA
LINS1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013702	NA
BAP1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0013692	NA
WWOX	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013687	NA
C19orf12	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013674	NA
KHDC3L	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0013671	NA
RAD51B	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0013669	NA
SYT14	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0013645	NA
CCDC8	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013627	NA
GP6	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013623	NA
TCTN1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013608	NA
COL9A1	0	0	No evidence available	No evidence available	MONDO:0013591	NA
MYO1E	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013589	NA
CLPP	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013588	NA
DYRK1A	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0013578	NA
IFT43	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0013573	NA
WDR35	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013569	NA
FANCG	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013565	NA
PIGN	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0013563	NA
BPNT2	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0013561	NA
HPS3	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0013555	NA
ZBTB24	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013553	NA
AP4S1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013552	NA
AP4B1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013551	NA
NAT8L	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013549	NA
GATA2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0013540	NA
CLDN14	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013537	NA
PSPH	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013531	NA
NDE1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013527	NA
WRAP53	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013520	NA
NHP2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013519	NA
SERPINF1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0013515	NA
GRIN2B	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0013509	NA
NCF4	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0013507	NA
IL17RA	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0013500	NA
KARS1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013489	NA
CFD	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013487	NA
TCTN2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013482	NA
SLC24A1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013450	NA
RPGRIP1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013446	NA
TTC21B	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013442	NA
SEPSECS	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0013438	NA
CCDC40	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0013435	NA
CCDC39	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013434	NA
CDT1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0013431	NA
ORC6	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0013430	NA
ORC4	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013428	NA
SMAD3	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0013426	NA
MASP2	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0013423	NA
MYLK	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0013418	NA
CNGB1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0013413	NA
FADD	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013408	NA
AHCY	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013404	NA
NFIA	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0013396	NA
JAM3	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013394	NA
PLCB1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013389	NA
POLR1D	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0013385	NA
EP300	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0013364	NA
SOBP	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013353	NA
FOXP1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0013352	NA
CDHR1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0013348	NA
C1QB	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013343	NA
MCFD2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013331	NA
CBL	0	0	No evidence available	No evidence available	MONDO:0013308	NA
BLNK	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013289	NA
IGLL1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013287	NA
CD19	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0013283	NA
SERPINA1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013282	NA
COG4	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0013281	NA
SERPINB6	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013269	NA
MEF2C	3	1	Sufficient evidence for dosage pathogenicity	Little evidence for dosage pathogenicity	MONDO:0013266	NA
PCARE	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013263	NA
SIN3A	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0013256	NA
RAD51C	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0013253	NA
PTPRQ	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0013249	NA
ITCH	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0013245	NA
LRAT	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0013231	NA
NKX3-2	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0013228	NA
SERPINE1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0013227	NA
SMARCA4	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0013224	NA
ENPP1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013219	NA
RPS26	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0013217	NA
TPRN	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013215	NA
GRXCR1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013210	NA
SLC30A10	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013208	NA
SOX10	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0013202	NA
F13B	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013190	NA
CA8	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013188	NA
F13A1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013187	NA
TRPM1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0013183	NA
WDR72	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013181	NA
ADAMTS17	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013176	NA
DNAAF1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013174	NA
TRAPPC9	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013173	NA
PNP	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013171	NA
ABAT	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0013166	NA
UPB1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0013164	NA
XPNPEP3	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013163	NA
IL10RA	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013153	NA
RETREG1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013142	NA
DSC3	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0013136	NA
PKD2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0013131	NA
PDE6C	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013129	NA
DYNC2H1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0013127	NA
LOXHD1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013119	NA
GFER	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013116	NA
RIN2	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0013115	NA
TRMU	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013111	NA
FOLR1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013110	NA
PHKG2	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0013091	NA
NR5A1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0013066	NA
PYCR1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0013051	NA
DPM3	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013049	NA
ENO3	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0013046	NA
OBSL1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0013039	NA
ALAD	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0013000	NA
