Phenotype	Gene
Pettigrew syndrome 	AP1S2, MRX59, MRXSF, MRXS21, MRXS5, PGS
Pfeiffer syndrome 	FGFR2, BEK, CFD1, JWS, TK14, BBDS
Pheochromocytoma 	RET, MEN2A, HSCR1
Phosphoglycerate kinase 1 deficiency 	PGK1, PGKA
Phosphoribosylpyrophosphate synthetase superactivity 	PRPS1, CMTX5, DFNX1, DFN2
Pick disease 	MAPT, MTBT1, DDPAC, MSTD
Pick disease 	PSEN1, AD3, ACNINV3
Pigmented nodular adrenocortical disease, primary, 3 	PDE8B, PPNAD3, ADSD
Pituitary adenoma 4, ACTH-secreting, somatic 	USP8, HUMORF8, PITA4
Poikiloderma, hereditary fibrosing, with tendon contractures, myopathy, and pulmonary fibrosis 	FAM111B, POIKTMP
Polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy 1 	TYROBP, DAP12, PLOSL1
Polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy 2 	TREM2, PLOSL2
Polyglucosan body disease, adult form 	GBE1, GSD4, APBD
Polyglucosan body myopathy 1 with or without immunodeficiency 	RBCK1, HOIL1, PGBM1, PBMEI, C20orf18
Polyglucosan body myopathy 2 	GYG1, GSD15
Polymicrogyria, bilateral frontoparietal 	ADGRG1, GPR56, TM7XN1, BFPP, BPPR
Polymicrogyria, bilateral perisylvian 	ADGRG1, GPR56, TM7XN1, BFPP, BPPR
Polymicrogyria, perisylvian, with cerebellar hypoplasia and arthrogryposis 	PI4KA, PIK4CA, PMGYCHA, SPG84, GIDID2
Polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract 	ABHD12, PHARC
Polyposis, juvenile intestinal 	SMAD4, MADH4, DPC4, JIP, MYHRS
Pontocerebellar hypoplasia type 1A 	VRK1, PCH1A
Pontocerebellar hypoplasia type 2A 	TSEN54, SEN54, PCH2A, PCH4, PCH5
Pontocerebellar hypoplasia type 4 	TSEN54, SEN54, PCH2A, PCH4, PCH5
Pontocerebellar hypoplasia, hypotonia, and respiratory insufficiency syndrome, neonatal lethal 	ATAD3A, HAYOS, PHRINL
Pontocerebellar hypoplasia, type 10 	CLP1, HEAB, PCH10
Pontocerebellar hypoplasia, type 11 	TBC1D23, PCH11
Pontocerebellar hypoplasia, type 12 	COASY, NBIA6, PCH12
Pontocerebellar hypoplasia, type 1B 	EXOSC3, RRP40, PCH1B
Pontocerebellar hypoplasia, type 1C 	EXOSC8, OIP2, RRP43, PCH1C
Pontocerebellar hypoplasia, type 1D 	EXOSC9, PMSCL1, PCH1D
Pontocerebellar hypoplasia, type 1E 	SLC25A46, HMSN6B, PCH1E
Popliteal pterygium syndrome 1 	IRF6, VWS1, LPS, PIT, PPS1, OFC6
Popliteal pterygium syndrome, Bartsocas-Papas type 1 	RIPK4, NKRD3, DIK, PPS2, CHANDS
Poretti-Boltshauser syndrome 	LAMA1, PTBHS
Porokeratosis 3, multiple types 	MVK, MVLK, POROK3
Porphyria variegata 	PPOX
Porphyria, acute intermittent 	HMBS, PBGD, UPS
Porphyria, acute intermittent, nonerythroid variant 	HMBS, PBGD, UPS
Portal hypertension, noncirrhotic, 1 617068 	DGUOK, DGK, MTDPS3, PEOB4, NCPH1
Premature aging syndrome, Penttinen type 	PDGFRB, PDGFR, IBGC4, IMF1, PENTT, KOGS
Premature ovarian failure 11 	ERCC6, CKN2, COFS1, CSB, ARMD5, UVSS1, POF11
Primary lateral sclerosis, juvenile 	ALS2, ALSJ, PLSJ, IAHSP
Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 2 	SLC25A4, ANT1, T1, PEO3, PEO2, MTDPS12A, PEOA2
Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 3 	TWNK, C10orf2, TWINKLE, PEOA3, IOSCA, MTDPS7, PRLTS5
Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 4 	POLG2, POLGB, PEOA4, MTDPS16A, MTDPS16B
Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 5 	RRM2B, P53R2, PEOA5, MTDPS8A, MTDPS8B, RCDFRD
Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 6 	DNA2, DNA2L, KIAA0083, PEOA6, SCKL8
Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal recessive 4 	DGUOK, DGK, MTDPS3, PEOB4, NCPH1
Progressive external ophthalmoplegia, autosomal dominant 1 	POLG, POLG1, POLGA, PEO, SANDO, SCAE, MTDPS4A, MTDPS4B, MIRAS
Progressive external ophthalmoplegia, autosomal recessive 1 	POLG, POLG1, POLGA, PEO, SANDO, SCAE, MTDPS4A, MTDPS4B, MIRAS
Proliferative vasculopathy and hydranencephaly-hydrocephaly syndrome 	FLVCR2, C14orf58, CCT, PVHH, EPV
Propionicacidemia 	PCCA
Propionicacidemia 	PCCB
Proud syndrome 	ARX, ISSX, PRTS, MRXS1, MRX36, MRX54, MRX43, MRX87, MRX29, MRX32
Proximal myopathy and ophthalmoplegia 	MYH2, MYPOP
Prune belly syndrome 	CHRM3, PBS, EGBRS
Pseudohypoaldosteronism, type IIC 	WNK1, PRKWNK1, KDP, PHA2C, HSAN2, HSN2
Pulmonary hypertension, primary, 4 	KCNK3, TASK, PPH4
Pyruvate dehydrogenase E1-alpha deficiency 	PDHA1, PHE1A, PDHAD
Pyruvate dehydrogenase E2 deficiency 	DLAT, PDCE2
Raine syndrome 	FAM20C, DMP4
Reducing body myopathy, X-linked 1a, severe, infantile or early childhood onset 	FHL1, SLIM1, XMPMA, KYOT, FHL1A, FHL1B, RBMX1A, RBMX1B, FCMSU
Reducing body myopathy, X-linked 1b, with late childhood or adult onset 	FHL1, SLIM1, XMPMA, KYOT, FHL1A, FHL1B, RBMX1A, RBMX1B, FCMSU
Refsum disease 	PHYH, PAHX
Renal cell carcinoma, papillary, 1, familial and somatic 	MET, DFNB97, OSFD
Restrictive dermopathy 1 	ZMPSTE24, FACE1, STE24, MADB, RSDM1
Restrictive dermopathy 2 	LMNA, LMN1, EMD2, FPLD2, CMD1A, HGPS
Retinal dystrophy with leukodystrophy 	ACBD5, KIAA1996, RDLKD
Retinitis pigmentosa 42 	KLHL7, RP42, PERCHING
Retinitis pigmentosa 59 	DHDDS, HDS, RP59, DEDSM
Retinitis pigmentosa 7 and digenic form 	PRPH2, DS, RP7, PRPH, AVMD, AOFMD, CACD2, MDBS1
Retinitis pigmentosa 76 	POMGNT1, MEB, MDDGA3, MDDGB3, MDDGC3, RP76, LGMDR15
Retinitis pigmentosa 79 	HK1, HKD, HMSNR, RP79, NEDVIBA
Retinitis pigmentosa 93 	CC2D2A, KIAA1345, MKS6, COACH2, RP93
Retinitis punctata albescens 	PRPH2, DS, RP7, PRPH, AVMD, AOFMD, CACD2, MDBS1
Rett syndrome 	MECP2, RTT, PPMX, AUTSX3, MRXSL, MRXS13
Rett syndrome, atypical 	MECP2, RTT, PPMX, AUTSX3, MRXSL, MRXS13
Rett syndrome, congenital variant 	FOXG1, FOXG1B, FKHL1, FKH2, QIN, BF1
Rett syndrome, preserved speech variant 	MECP2, RTT, PPMX, AUTSX3, MRXSL, MRXS13
Revesz syndrome 	TINF2, TIN2, DKCA3
Rhabdomyosarcoma 2, alveolar 	PAX7, RMS2, MYOSCO
Rhizomelic chondrodysplasia punctata, type 1 	PEX7, RCDP1, PBD9B
Rhizomelic chondrodysplasia punctata, type 5 	PEX5, PXR1, PTS1R, PBD2A, PBD2B, RCDP5
Rigidity and multifocal seizure syndrome, lethal neonatal 	BRAT1, BAAT1, C7orf27, RMFSL, NEDCAS
Rippling muscle disease 2 	CAV3, LQT9, MPDT, RMD2
Ritscher-Schinzel syndrome 1 	WASHC5, KIAA0196, SPG8, RTSC1
Rod-cone dystrophy, sensorineural deafness, and Fanconi-type renal dysfunction 	RRM2B, P53R2, PEOA5, MTDPS8A, MTDPS8B, RCDFRD
Roussy-Levy syndrome 	MPZ, CMT1B, CMTDID, DSS, CHN2
Roussy-Levy syndrome 	PMP22, CMT1A, CMT1E, DSS, CIDP
SADDAN 	FGFR3, ACH
SBBYSS syndrome 	KAT6B, MYST4, MORF, GTPTS
SED, Maroteaux type 	TRPV4, VROAC, HMSN2C, CMT2C, SPSMA, SSQTL1, SMAL, BCYM3
SESAME syndrome 	KCNJ10, SESAME
Saethre-Chotzen syndrome 	FGFR2, BEK, CFD1, JWS, TK14, BBDS
Salih myopathy 	TTN, CMD1G, TMD, LGMDR10, MPRM, HMERF, SALMY
Salla disease 	SLC17A5, SIASD, SLD
Sandhoff disease, infantile, juvenile, and adult forms 	HEXB
Scaphocephaly and Axenfeld-Rieger anomaly 	FGFR2, BEK, CFD1, JWS, TK14, BBDS
Scaphocephaly, maxillary retrusion, and mental retardation 	FGFR2, BEK, CFD1, JWS, TK14, BBDS
Scapuloperoneal myopathy, X-linked dominant 	FHL1, SLIM1, XMPMA, KYOT, FHL1A, FHL1B, RBMX1A, RBMX1B, FCMSU
Scapuloperoneal spinal muscular atrophy 	TRPV4, VROAC, HMSN2C, CMT2C, SPSMA, SSQTL1, SMAL, BCYM3
Scapuloperoneal syndrome, myopathic type 	MYH7, CMH1, MPD1, CMD1S, SPMM, SPMD
Scapuloperoneal syndrome, neurogenic, Kaeser type 	DES, CMD1I, MFM1, SCPNK
Schaaf-Yang syndrome 	MAGEL2, NDNL1, SHFYNG
Schimmelpenning-Feuerstein-Mims syndrome, somatic mosaic 	HRAS
Schindler disease, type I 	NAGA
Schindler disease, type III 	NAGA
Schwartz-Jampel syndrome, type 1 	HSPG2, PLC, SJS, SJA, SJS1
Sclerosteosis 2 	LRP4, MEGF7, CLSS, SOST2, CMS17
Sea-blue histiocyte disease 	APOE, AD2, LPG, LDLCQ5
Segawa syndrome, recessive 	TH, TYH
Seizures, benign familial infantile, 2 	PRRT2, PKC, DYT10, EKD1, BFIS2, BFIC2, ICCA
Seizures, benign familial infantile, 3 	SCN2A, SCN2A1, BFIC3, DEE11, BFIS3, BFNIS, EA9
Seizures, benign familial infantile, 5 	SCN8A, CIAT, DEE13, BFIS5, MYOCL2
Seizures, benign neonatal, 1 	KCNQ2, EBN1, DEE7, BFNS1
Seizures, benign neonatal, 2 	KCNQ3, EBN2, BFNC2
Sengers syndrome 	AGK, MULK, MTDPS10, CATC5, CTRCT38
Senior-Loken syndrome 6 	CEP290, KIAA0373, 3H11AG, JBTS5, SLSN6, LCA10, BBS14
Senior-Loken syndrome-1 	NPHP1, NPH1, SLSN1, JBTS4
Short QT syndrome 3 	KCNJ2, HHIRK1, KIR2.1, IRK1, LQT7, SQT3, ATFB9
Short-rib thoracic dysplasia 6 with or without polydactyly 	NEK1, SRTD6, SRPS2A, ALS24
Shprintzen-Goldberg syndrome 	SKI, SGS
Sialic acid storage disorder, infantile 	SLC17A5, SIASD, SLD
Sialuria 	GNE, GLCNE, IBM2, DMRV, NM
Silver spastic paraplegia syndrome 	BSCL2, SPG17, HMN5, PELD, HMN5C
Simpson-Golabi-Behmel syndrome, type 2 	OFD1, CXorf5, SGBS2, JBTS10, RP23
Singleton-Merten syndrome 1 	IFIH1, MDA5, AGS7, SGMRT1, IMD95
Sjogren-Larsson syndrome 	ALDH3A2, ALDH10, SLS, FALDH
Small fiber neuropathy 	SCN9A, NENA, PN1, SFNP, HSAN2D
Sorbitol dehydrogenase deficiency with peripheral neuropathy 	SORD, SORD1, SORDD
Spastic ataxia 1, autosomal dominant 	VAMP1, SYB1, SPAX1, CMS25
Spastic ataxia 2, autosomal recessive 	KIF1C, LTXS1, KIAA0706, SPAX2
Spastic ataxia 3, autosomal recessive 	MARS2, SPAX3, COXPD25
Spastic ataxia 5, autosomal recessive 	AFG3L2, SCA28, SPAX5, OPA12
Spastic ataxia 8, autosomal recessive, with hypomyelinating leukodystrophy 	NKX6-2, NKX6B, NKX6.2, SPAX8
Spastic ataxia, Charlevoix-Saguenay type 	SACS, ARSACS
Spastic paralysis, infantile onset ascending 	ALS2, ALSJ, PLSJ, IAHSP
Spastic paraplegia 10, autosomal dominant 	KIF5A, NKHC, SPG10, NEIMY, ALS25
Spastic paraplegia 11, autosomal recessive 	SPG11, KIAA1840, FLJ21439, ALS5, CMT2X
Spastic paraplegia 12, autosomal dominant 	RTN2, NSPL1, SPG12
Spastic paraplegia 13, autosomal dominant 	HSPD1, SPG13, HSP60, HLD4
Spastic paraplegia 15, autosomal recessive 	ZFYVE26, KIAA0321, SPG15
Spastic paraplegia 18, autosomal recessive 	ERLIN2, SPFH2, C8orf2, SPG18
Spastic paraplegia 2, X-linked 	PLP1, PMD, HLD1, SPG2
Spastic paraplegia 23 	DSTYK, KIAA0472, RIP5, DUSTYPK, CAKUT1, SPG23
Spastic paraplegia 26, autosomal recessive 	B4GALNT1, GALGT, GALNACT, SPG26
Spastic paraplegia 28, autosomal recessive 	DDHD1, PAPLA1, KIAA1705, SPG28
Spastic paraplegia 30, autosomal dominant 	KIF1A, ATSV, UNC104, SPG30, HSN2C, MRD9
Spastic paraplegia 30, autosomal recessive 	KIF1A, ATSV, UNC104, SPG30, HSN2C, MRD9
Spastic paraplegia 31, autosomal dominant 	REEP1, C2orf23, SPG31, HMN5B
Spastic paraplegia 35, autosomal recessive 	FA2H, FAAH, FAXDC1, FAH1, SCS7, SPG35
Spastic paraplegia 39, autosomal recessive 	PNPLA6, NTE, SPG39, NTEMND, BNHS, LNMS, OMCS
Spastic paraplegia 3A, autosomal dominant 	ATL1, SPG3A, HSN1D
Spastic paraplegia 4, autosomal dominant 	SPAST, SPG4
Spastic paraplegia 45, autosomal recessive 	NT5C2, NT5B, PNT5, SPG45
Spastic paraplegia 46, autosomal recessive 	GBA2, KIAA1605, SPG46
Spastic paraplegia 47, autosomal recessive 	AP4B1, SPG47, CPSQ5
Spastic paraplegia 48, autosomal recessive 	AP5Z1, KIAA0415, SPG48
Spastic paraplegia 50, autosomal recessive 	AP4M1, SPG50, CPSQ3
Spastic paraplegia 51, autosomal recessive 	AP4E1, SPG51, CPSQ4, STUT1
Spastic paraplegia 52, autosomal recessive 	AP4S1, CPSQ6, SPG52
Spastic paraplegia 53, autosomal recessive 	VPS37A, HCRP1, SPG53
Spastic paraplegia 54, autosomal recessive 	DDHD2, KIAA0725, SPG54
Spastic paraplegia 55, autosomal recessive 	MTRFR, C12orf65, COXPD7, SPG55
Spastic paraplegia 56, autosomal recessive 	CYP2U1, SPG56
Spastic paraplegia 5A, autosomal recessive 	CYP7B1, CBAS3, SPG5A
Spastic paraplegia 6, autosomal dominant 	NIPA1, SPG6
Spastic paraplegia 62 	ERLIN1, SPG62
Spastic paraplegia 64, autosomal recessive 	ENTPD1, CD39, SPG64
Spastic paraplegia 7, autosomal recessive 	PGN, SPG7, CMAR, CAR
Spastic paraplegia 75, autosomal recessive 	MAG, GMA, SPG75
Spastic paraplegia 76, autosomal recessive 	CAPN1, SPG76
Spastic paraplegia 77, autosomal recessive 	FARS2, FARS1, COXPD14, SPG77
Spastic paraplegia 78, autosomal recessive 	ATP13A2, PARK9, KRPPD, SPG78
Spastic paraplegia 79, autosomal recessive 	UCHL1, PARK5, SPG79, NDGOA
Spastic paraplegia 8, autosomal dominant 	WASHC5, KIAA0196, SPG8, RTSC1
Spastic paraplegia 80, autosomal dominant 	UBAP1, UBAP, SPG80
Spastic paraplegia 81, autosomal recessive 	SELENOI, SELI, SPG81
Spastic paraplegia 82, autosomal recessive 	PCYT2, ET, SPG82
Spastic paraplegia 83, autosomal recessive 	HPDL, NEDSWMA, SPG83
Spastic paraplegia 84, autosomal recessive 	PI4KA, PIK4CA, PMGYCHA, SPG84, GIDID2
Spastic paraplegia 85, autosomal recessive 	RNF170, SNAX1, SPG85
Spastic paraplegia 86, autosomal recessive 	ABHD16A, BAT5, D6S82E, SPG86
Spastic paraplegia 9A, autosomal dominant 	ALDH18A1, PYCS, GSAS, ARCL3A, SPG9A, SPG9B, ADCL3
Spastic paraplegia 9B, autosomal recessive 	ALDH18A1, PYCS, GSAS, ARCL3A, SPG9A, SPG9B, ADCL3
Spastic paraplegia and psychomotor retardation with or without seizures 	HACE1, KIAA1320, SPPRS
Spastic paraplegia, intellectual disability, nystagmus, and obesity 	KIDINS220, ARMS, SINO, VENARG
Spastic paraplegia, optic atrophy, and neuropathy 	KLC2, SPOAN
Spastic tetraplegia and axial hypotonia, progressive 	SOD1, ALS1, STAHP
Spastic tetraplegia, thin corpus callosum, and progressive microcephaly 	SLC1A4, SATT, ASCT1, SPATCCM
Spasticity, childhood-onset, with hyperglycinemia 	GLRX5, C14orf87, PRO1238, FLB4739, PRSA, SIDBA3, SPAHGC
Spermatocytic seminoma, somatic 	FGFR3, ACH
Spinal and bulbar muscular atrophy of Kennedy 	AR, DHTR, TFM, SBMA, KD, SMAX1, HYSP1
Spinal muscular atrophy with congenital bone fractures 1 	TRIP4, ASC1, SMABF1, MDCDC
Spinal muscular atrophy with congenital bone fractures 2 	ASCC1, p50, SMABF2
Spinal muscular atrophy with progressive myoclonic epilepsy 	ASAH1, AC, SMAPME
Spinal muscular atrophy, Jokela type 	CHCHD10, FTDALS2, SMAJ, IMMD
Spinal muscular atrophy, X-linked 2, infantile 	UBA1, UBE1, GXP1, A1ST, SMAX2, AMCX1, VEXAS
Spinal muscular atrophy, distal, X-linked 3 	ATP7A, MNK, MK, OHS, SMAX3
Spinal muscular atrophy, distal, autosomal recessive, 4 	PLEKHG5, KIAA0720, DSMA4, CMTRIC
Spinal muscular atrophy, distal, autosomal recessive, 5 	DNAJB2, HSJ1, HSPF3, DSMA5
Spinal muscular atrophy, infantile, James type 	GARS1, GARS, SMAD1, CMT2D, HMN5A, SMAJI
Spinal muscular atrophy, late-onset, Finkel type 	VAPBC, VAPB, VAPC, ALS8
Spinal muscular atrophy, lower extremity-predominant 1, AD 	DYNC1H1, DNCL, DNECL, CMT2O, MRD13, SMALED1
Spinal muscular atrophy, lower extremity-predominant, 2A, autosomal dominant 	BICD2, KIAA0699, SMALED2A, SMALED2B
Spinal muscular atrophy, lower extremity-predominant, 2B, autosomal dominant 	BICD2, KIAA0699, SMALED2A, SMALED2B
Spinal muscular atrophy-1 	SMN1, SMA1, SMA2, SMA3, SMA4
Spinal muscular atrophy-2 	SMN1, SMA1, SMA2, SMA3, SMA4
Spinal muscular atrophy-3 	SMN1, SMA1, SMA2, SMA3, SMA4
Spinal muscular atrophy-4 	SMN1, SMA1, SMA2, SMA3, SMA4
Spinocerebellar ataxia 1 	ATXN1, ATX1, SCA1
Spinocerebellar ataxia 10 	ATXN10, SCA10
Spinocerebellar ataxia 11 	TTBK2, SCA11
Spinocerebellar ataxia 12 	PPP2R2B
Spinocerebellar ataxia 13 	KCNC3, SCA13
Spinocerebellar ataxia 14 	PRKCG, PKCC, PKCG, SCA14
Spinocerebellar ataxia 15 	ITPR1, SCA15, SCA16, SCA29
Spinocerebellar ataxia 17 	TBP, SCA17, HDL4
Spinocerebellar ataxia 19 	KCND3, KCND3S, KCND3L, SCA19, SCA22, BRGDA9
Spinocerebellar ataxia 2 	ATXN2, ATX2, SCA2, ASL13
Spinocerebellar ataxia 21 	TMEM240, C1orf70, SCA21
Spinocerebellar ataxia 23 	PDYN, SCA23
Spinocerebellar ataxia 27 	FGF14, FHF4, SCA27
Spinocerebellar ataxia 28 	AFG3L2, SCA28, SPAX5, OPA12
Spinocerebellar ataxia 29, congenital nonprogressive 	ITPR1, SCA15, SCA16, SCA29
Spinocerebellar ataxia 34 	ELOVL4, ADMD, STGD2, STGD3, ISQMR, SCA34
Spinocerebellar ataxia 36 	NOP56, SCA36
Spinocerebellar ataxia 37 	DAB1, SCA37
Spinocerebellar ataxia 38 	ELOVL5, HELO1, SCA38
Spinocerebellar ataxia 42 	CACNA1G, SCA42, SCA42ND
Spinocerebellar ataxia 42, early-onset, severe, with neurodevelopmental deficits 	CACNA1G, SCA42, SCA42ND
Spinocerebellar ataxia 44 	GRM1, MGLUR1, GRM1A, SCAR13, SCA44
Spinocerebellar ataxia 45 	FAT2, MEGF1, SCA45
Spinocerebellar ataxia 47 	PUM1, KIAA0099, SCA47
Spinocerebellar ataxia 48 	STUB1, CHIP, SCAR16, SCA48
Spinocerebellar ataxia 49 	SAMD9L, ATXPC, M7MLS1, SCA49
Spinocerebellar ataxia 5 	SPTBN2, SCA5, SCAR14
Spinocerebellar ataxia 6 	CACNA1A, CACNL1A4, SCA6, DEE42
Spinocerebellar ataxia 7 	ATXN7, SCA7, OPCA3
Spinocerebellar ataxia, autosomal recessive 10 	ANO10, TMEM16K, SCAR10
Spinocerebellar ataxia, autosomal recessive 12 	WWOX, FOR, SCAR12, DEE28
Spinocerebellar ataxia, autosomal recessive 13 	GRM1, MGLUR1, GRM1A, SCAR13, SCA44
Spinocerebellar ataxia, autosomal recessive 14 	SPTBN2, SCA5, SCAR14
Spinocerebellar ataxia, autosomal recessive 15 	RUBCN, RUBICON, KIAA0226, SCAR15
Spinocerebellar ataxia, autosomal recessive 16 	STUB1, CHIP, SCAR16, SCA48
Spinocerebellar ataxia, autosomal recessive 17 	CWF19L1, C19L1, SCAR17
Spinocerebellar ataxia, autosomal recessive 18 	GRID2, SCAR18
Spinocerebellar ataxia, autosomal recessive 2 	PMPCA, KIAA0123, SCAR2
Spinocerebellar ataxia, autosomal recessive 20 	SNX14, SCAR20
Spinocerebellar ataxia, autosomal recessive 21 	SCYL1, NTKL, SCAR21
Spinocerebellar ataxia, autosomal recessive 23 	TDP2, TTRAP
Spinocerebellar ataxia, autosomal recessive 27 	GDAP2, SCAR27
Spinocerebellar ataxia, autosomal recessive 28 	THG1L, THG1, ICF45, IHG1, SCAR28
Spinocerebellar ataxia, autosomal recessive 29 	VPS41, SCAR29
Spinocerebellar ataxia, autosomal recessive 30 	PITRM1, MP1, PREP, SCAR30
Spinocerebellar ataxia, autosomal recessive 31 	ATG7, APG7L, GSA7, SCAR31
Spinocerebellar ataxia, autosomal recessive 32 	PRDX3, AOP1, SCAR32, PPPCD
Spinocerebellar ataxia, autosomal recessive 4 	VPS13D, SCAR4
Spinocerebellar ataxia, autosomal recessive 7 	TPP1, CLN2, SCAR7
Spinocerebellar ataxia, autosomal recessive 8 	SYNE1, KIAA0796, KIAA1756, KIAA1262, SCAR8, EDMD4, AMC3
Spinocerebellar ataxia, autosomal recessive, with axonal neuropathy 2 	SETX, SCAN2, AOA2, ALS4
Spinocerebellar ataxia, autosomal recessive, with axonal neuropathy 3 	COA7, RESA1, SELRC1, C1orf163, SCAN3
Spitz nevus or nevus spilus, somatic 	HRAS
Spondylocarpotarsal synostosis syndrome 	FLNB, SCT, AOI, LRS1
Spondyloepimetaphyseal dysplasia with joint laxity, type 1, with or without fractures 	B3GALT6, SEMDJL1, EDSSPD2, ALGAZ
Spondyloepimetaphyseal dysplasia, X-linked, with hypomyelinating leukodystrophy 	AIFM1, PDCD8, AIF, COXPD6, COWCK, CMTX4, DFNX5, SEMDHL
Spondylometaphyseal dysplasia, Kozlowski type 	TRPV4, VROAC, HMSN2C, CMT2C, SPSMA, SSQTL1, SMAL, BCYM3
Spongiform encephalopathy with neuropsychiatric features 	PRNP, PRIP, KURU, CJD
Stargardt disease 3 	ELOVL4, ADMD, STGD2, STGD3, ISQMR, SCA34
Stomatin-deficient cryohydrocytosis with neurologic defects 	SLC2A1, GLUT1, HTLVR, DYT18, PED, GLUT1DS, EIG12, DYT9, SDCHCN
Stormorken syndrome 	STIM1, TAM1, IMD10, STRMK
Striatal degeneration, autosomal dominant 	PDE8B, PPNAD3, ADSD
Striatal degeneration, autosomal dominant 	PDE10A, IOLOD, ADSD2
Striatonigral degeneration, childhood-onset 	VAC14, TAX1BP2, TRX, SNDC
Stuttering, familial persistent, 1 	AP4E1, SPG51, CPSQ4, STUT1
Stuve-Wiedemann syndrome/Schwartz-Jampel type 2 syndrome 	LIFR, STWS, SWS, SJS2
Succinic semialdehyde dehydrogenase deficiency 	ALDH5A1, SSADH
Sulfite oxidase deficiency 	SUOX
Supranuclear palsy, progressive atypical 	MAPT, MTBT1, DDPAC, MSTD
Supranuclear palsy, progressive 	MAPT, MTBT1, DDPAC, MSTD
Syndactyly, type III 	GJA1, CX43, ODDD, SDTY3, ODOD, HSS, AVSD3, HLHS1, CMDR, EKVP3
T-cell prolymphocytic leukemia, somatic 	ATM, ATA, AT1
Tangier disease 	ABCA1, ABC1, HPALP1, TGD, HDLCQTL13
Tay-Sachs disease 	HEXA, TSD
Terminal osseous dysplasia 	FLNA, FLN1, NHBP, OPD1, OPD2, FMD, MNS, CVD1, CSBS, FGS2
Tetralogy of Fallot 	JAG1, AGS1, AHD, DCHE, CMT2HH
Thanatophoric dysplasia, type I 	FGFR3, ACH
Thanatophoric dysplasia, type II 	FGFR3, ACH
Thyroid carcinoma, follicular, somatic 	HRAS
Tibial muscular dystrophy, tardive 	TTN, CMD1G, TMD, LGMDR10, MPRM, HMERF, SALMY
Tolchin-Le Caignec syndrome 	SOX6, TOLCAS
Traboulsi syndrome 	ASPH, HAAH, FDLAB
Tremor, hereditary essential, 6 	NOTCH2NLC, NIID, ETM6, OPDM3
Trichoepithelioma, multiple familial, 1 	CYLD, CDMT, EAC, MFT1, KIAA0849, BRSS, FTDALS8
Trichothiodystrophy 8, nonphotosensitive 	AARS1, AARS, CMT2N, DEE29, HDLS2, TTD8
Trifunctional protein deficiency 	HADHB
Trismus-pseudocamptodactyly syndrome 	MYH8, DA7
Troyer syndrome 	SPART, KIAA0610, SPG20
Tumoral calcinosis, familial, normophosphatemic 	SAMD9, NFTC, MIRAGE, M7MLS2
Tyrosinemia, type I 	FAH
UV-sensitive syndrome 1 	ERCC6, CKN2, COFS1, CSB, ARMD5, UVSS1, POF11
UV-sensitive syndrome 2 	ERCC8, CKN1, CSA, UVSS2
Ullrich congenital muscular dystrophy 1 	COL6A1, BTHLM1, UCHMD1
Ullrich congenital muscular dystrophy 1 	COL6A2, BTHLM1, UCMD1
Ullrich congenital muscular dystrophy 1 	COL6A3, DYT27, BTHLM1, UCMD1
Usher syndrome type 3B 	HARS1, HARS, USH3B, CMT2W
VEXAS syndrome, somatic 	UBA1, UBE1, GXP1, A1ST, SMAX2, AMCX1, VEXAS
VLCAD deficiency 	ACADVL, VLCAD
Van den Ende-Gupta syndrome 	SCARF2, SREC2, VDEGS
Vasculopathy, retinal, with cerebral leukoencephalopathy and systemic manifestations 	TREX1, AGS1, CRV, HERNS, RVCLS
Ventriculomegaly and arthrogryposis 	KIDINS220, ARMS, SINO, VENARG
Vici syndrome 	EPG5, KIAA1632, HEEW1, VICIS
Visceral myopathy 1 	ACTG2, ACTA3, VSCM1, MMIHS5
Visceral myopathy 2 	MYH11, AAT4, FAA4, VSCM2
Visceral neuropathy, familial, 1, autosomal recessive 	ERBB3, LCCS2, FERLK, VSCN1
Waardenburg syndrome, type 2E, with or without neurologic involvement 	SOX10, WS4, WS4C, PCWH
Waardenburg syndrome, type 4A 	EDNRB, HSCR2, ABCDS, WS4A
Waardenburg syndrome, type 4B 	EDN3, WS4B, HSCR4
Waardenburg syndrome, type 4C 	SOX10, WS4, WS4C, PCWH
Waisman syndrome 	RAB39B, XLID72, WSMN, MRX72
Warburg micro syndrome 2 	RAB3GAP2, RAB3GAP150, p150, KIAA0839, WARBM2, MARTS1
Weill-Marchesani syndrome 1, recessive 	ADAMTS10, WMS1
Welander distal myopathy 	TIA1, WDM, ALS26
Wieacker-Wolff syndrome 	ZC4H2, KIAA1166, WRWF, MRXS4, WRWFFR
Wieacker-Wolff syndrome, female-restricted 	ZC4H2, KIAA1166, WRWF, MRXS4, WRWFFR
Wiedemann-Rautenstrauch syndrome 	POLR3A, RPC1, RPC155, ADDH, HLD7, WDRTS
Wilson disease 	ATP7B, WND
