Gene	pDN	pGOF	pLOF
ACO2	0.634952471608062	0.56075017166826	0.455697949706153
ACOD1	0.69706182971637	0.660788081153337	0.336160089858243
ACOT1	0.588045930028586	0.485209513488923	0.36456216532684
ACOT11	0.592949071397964	0.650414040049989	0.467894809190311
ACOT12	0.565350351745875	0.714810371682546	0.402111677987921
ACOT13	0.714470823397591	0.61002113444003	0.418481168807172
ACOT2	0.66479068180019	0.596339043707144	0.343430784409369
ACOT4	0.629030672863926	0.526509894632045	0.353824444156172
ACOT6	0.664877734098913	0.607521195881543	0.305256487103179
ACOT7	0.493886344925367	0.604988639127369	0.645346698292443
ACOT7L	0.593667128717295	0.781036219658306	0.516186453864207
ACOT8	0.714847477789793	0.604307062640119	0.302239143728592
ACOT9	0.602535177492808	0.602858473515613	0.412649423775892
ACOX1	0.726924792141631	0.714995870999495	0.214961531632653
ACOX2	0.78204758177561	0.739320477542113	0.165924315549359
ACOX3	0.699222762560455	0.693110090490501	0.232545197594343
ACOXL	0.771136444332159	0.688359968640351	0.244196449516873
ACP1	0.67866959215102	0.511968460403789	0.276215975588591
ACP2	0.695267846843179	0.613841935345811	0.174158699800523
ACP3	0.657622137380195	0.517706427505926	0.24987733483848
ACP4	0.702196075054281	0.716254174278303	0.204901064513852
ACP5	0.691726902947274	0.618083145783597	0.2719771254023
ACP6	0.572434427134598	0.444929526371111	0.278969809135972
ACP7	0.641307021309112	0.5847832709388	0.375751871078251
ACR	0.695926117907773	0.648846940386628	0.312154202832316
ACRBP	0.564297439951063	0.537007592898829	0.280938295768393
ACRV1	0.68376935281835	0.549928551656632	0.332194583254795
ACSBG1	0.718816211250872	0.73522303203305	0.2422563024231
ACSBG2	0.77016112792287	0.66883157729302	0.239133476215441
ACSF2	0.709010538082838	0.619279546276112	0.328638814112979
ACSF3	0.576015878106239	0.538799275445668	0.457910368870616
ACSL1	0.684989576262435	0.633484427542142	0.301298317674399
ACSL3	0.676096744534318	0.572767601746799	0.337495629681341
ACSL4	0.411463783072889	0.471632305206742	0.634507404640305
ACSL5	0.786283378115228	0.721308819867453	0.206665896207452
ACSL6	0.759220814829974	0.707754482076843	0.245371043377433
ACSM1	0.714754765969652	0.531427267922145	0.365636199724242
ACSM2A	0.700280458768478	0.577472602327121	0.360394817600324
ACSM2B	0.699359279291524	0.60529072143795	0.355812951201587
ACSM3	0.762487409083141	0.558905574886301	0.346536214286974
ACSM4	0.709669505182813	0.545185980136398	0.39618311985174
